INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 132 packages in 36ms
Audited 124 packages in 383ms
run_start config=/workspace/shared/config_realistic.yml days=365 hospitals=15 susceptible=9800 seed_carriers=200 micro_steps_per_day=12 micro_workers=300 seed=42
day=119 susceptible=0465 carriers=0455 avg_resistant_fraction=0.0004
day=120 susceptible=0460 carriers=0455 avg_resistant_fraction=0.0001
day=121 susceptible=0460 carriers=0449 avg_resistant_fraction=0.0004
day=122 susceptible=0463 carriers=0448 avg_resistant_fraction=0.0005
day=123 susceptible=0465 carriers=0444 avg_resistant_fraction=0.0006
day=124 susceptible=0478 carriers=0430 avg_resistant_fraction=0.0004
day=125 susceptible=0456 carriers=0441 avg_resistant_fraction=0.0007
day=126 susceptible=0437 carriers=0448 avg_resistant_fraction=0.0003
day=127 susceptible=0451 carriers=0445 avg_resistant_fraction=0.0003
day=128 susceptible=0443 carriers=0450 avg_resistant_fraction=0.0002
day=129 susceptible=0451 carriers=0437 avg_resistant_fraction=0.0002
day=130 susceptible=0462 carriers=0433 avg_resistant_fraction=0.0005
day=131 susceptible=0470 carriers=0431 avg_resistant_fraction=0.0009
day=132 susceptible=0484 carriers=0418 avg_resistant_fraction=0.0001
day=133 susceptible=0495 carriers=0413 avg_resistant_fraction=0.0005
day=134 susceptible=0500 carriers=0408 avg_resistant_fraction=0.0005
day=135 susceptible=0487 carriers=0415 avg_resistant_fraction=0.0010
day=136 susceptible=0493 carriers=0413 avg_resistant_fraction=0.0005
day=137 susceptible=0481 carriers=0418 avg_resistant_fraction=0.0009
day=138 susceptible=0470 carriers=0412 avg_resistant_fraction=0.0000
day=139 susceptible=0477 carriers=0406 avg_resistant_fraction=0.0006
day=140 susceptible=0480 carriers=0403 avg_resistant_fraction=0.0004
day=141 susceptible=0482 carriers=0399 avg_resistant_fraction=0.0006
day=142 susceptible=0488 carriers=0392 avg_resistant_fraction=0.0000
day=143 susceptible=0481 carriers=0391 avg_resistant_fraction=0.0001
day=144 susceptible=0463 carriers=0406 avg_resistant_fraction=0.0007
day=145 susceptible=0465 carriers=0407 avg_resistant_fraction=0.0003
day=146 susceptible=0453 carriers=0410 avg_resistant_fraction=0.0003
day=147 susceptible=0450 carriers=0408 avg_resistant_fraction=0.0008
day=148 susceptible=0463 carriers=0406 avg_resistant_fraction=0.0004
day=149 susceptible=0458 carriers=0404 avg_resistant_fraction=0.0008
day=150 susceptible=0482 carriers=0389 avg_resistant_fraction=0.0004
day=151 susceptible=0475 carriers=0399 avg_resistant_fraction=0.0008
day=152 susceptible=0473 carriers=0401 avg_resistant_fraction=0.0006
day=153 susceptible=0468 carriers=0402 avg_resistant_fraction=0.0004
day=154 susceptible=0480 carriers=0402 avg_resistant_fraction=0.0007
day=155 susceptible=0466 carriers=0399 avg_resistant_fraction=0.0008
day=156 susceptible=0464 carriers=0399 avg_resistant_fraction=0.0004
day=157 susceptible=0471 carriers=0393 avg_resistant_fraction=0.0000
day=158 susceptible=0470 carriers=0402 avg_resistant_fraction=0.0005
day=159 susceptible=0466 carriers=0402 avg_resistant_fraction=0.0004
day=160 susceptible=0473 carriers=0400 avg_resistant_fraction=0.0005
day=161 susceptible=0475 carriers=0406 avg_resistant_fraction=0.0003
day=162 susceptible=0494 carriers=0396 avg_resistant_fraction=0.0007
day=163 susceptible=0483 carriers=0407 avg_resistant_fraction=0.0007
day=164 susceptible=0489 carriers=0400 avg_resistant_fraction=0.0005
day=165 susceptible=0491 carriers=0398 avg_resistant_fraction=0.0006
day=166 susceptible=0470 carriers=0401 avg_resistant_fraction=0.0006
day=167 susceptible=0464 carriers=0402 avg_resistant_fraction=0.0009
day=168 susceptible=0456 carriers=0403 avg_resistant_fraction=0.0004
day=169 susceptible=0451 carriers=0401 avg_resistant_fraction=0.0007
day=170 susceptible=0464 carriers=0400 avg_resistant_fraction=0.0007
day=171 susceptible=0466 carriers=0395 avg_resistant_fraction=0.0004
day=172 susceptible=0465 carriers=0390 avg_resistant_fraction=0.0008
day=173 susceptible=0468 carriers=0395 avg_resistant_fraction=0.0002
day=174 susceptible=0475 carriers=0399 avg_resistant_fraction=0.0007
day=175 susceptible=0468 carriers=0396 avg_resistant_fraction=0.0001
day=176 susceptible=0482 carriers=0383 avg_resistant_fraction=0.0005
day=177 susceptible=0476 carriers=0388 avg_resistant_fraction=0.0007
day=178 susceptible=0480 carriers=0390 avg_resistant_fraction=0.0007
day=179 susceptible=0480 carriers=0388 avg_resistant_fraction=0.0000
day=180 susceptible=0475 carriers=0391 avg_resistant_fraction=0.0003
day=181 susceptible=0475 carriers=0385 avg_resistant_fraction=0.0007
day=182 susceptible=0465 carriers=0387 avg_resistant_fraction=0.0006
day=183 susceptible=0467 carriers=0389 avg_resistant_fraction=0.0003
day=184 susceptible=0455 carriers=0388 avg_resistant_fraction=0.0003
day=185 susceptible=0448 carriers=0378 avg_resistant_fraction=0.0005
day=186 susceptible=0453 carriers=0371 avg_resistant_fraction=0.0008
day=187 susceptible=0452 carriers=0375 avg_resistant_fraction=0.0003
day=188 susceptible=0459 carriers=0361 avg_resistant_fraction=0.0006
day=189 susceptible=0464 carriers=0366 avg_resistant_fraction=0.0007
day=190 susceptible=0464 carriers=0370 avg_resistant_fraction=0.0005
day=191 susceptible=0466 carriers=0372 avg_resistant_fraction=0.0007
day=192 susceptible=0469 carriers=0374 avg_resistant_fraction=0.0007
day=193 susceptible=0470 carriers=0370 avg_resistant_fraction=0.0002
day=194 susceptible=0457 carriers=0371 avg_resistant_fraction=0.0003
day=195 susceptible=0440 carriers=0382 avg_resistant_fraction=0.0002
day=196 susceptible=0434 carriers=0379 avg_resistant_fraction=0.0007
day=197 susceptible=0435 carriers=0384 avg_resistant_fraction=0.0003
day=198 susceptible=0451 carriers=0371 avg_resistant_fraction=0.0006
day=199 susceptible=0469 carriers=0362 avg_resistant_fraction=0.0005
day=200 susceptible=0465 carriers=0367 avg_resistant_fraction=0.0007
day=201 susceptible=0463 carriers=0368 avg_resistant_fraction=0.0007
day=202 susceptible=0458 carriers=0373 avg_resistant_fraction=0.0001
day=203 susceptible=0483 carriers=0362 avg_resistant_fraction=0.0003
day=204 susceptible=0484 carriers=0358 avg_resistant_fraction=0.0004
day=205 susceptible=0487 carriers=0358 avg_resistant_fraction=0.0003
day=206 susceptible=0484 carriers=0358 avg_resistant_fraction=0.0010
day=207 susceptible=0484 carriers=0362 avg_resistant_fraction=0.0005
day=208 susceptible=0484 carriers=0368 avg_resistant_fraction=0.0003
day=209 susceptible=0476 carriers=0369 avg_resistant_fraction=0.0003
day=210 susceptible=0478 carriers=0354 avg_resistant_fraction=0.0000
day=211 susceptible=0470 carriers=0356 avg_resistant_fraction=0.0000
day=212 susceptible=0459 carriers=0359 avg_resistant_fraction=0.0004
day=213 susceptible=0457 carriers=0357 avg_resistant_fraction=0.0004
day=214 susceptible=0454 carriers=0354 avg_resistant_fraction=0.0005
day=215 susceptible=0461 carriers=0353 avg_resistant_fraction=0.0006
day=216 susceptible=0479 carriers=0344 avg_resistant_fraction=0.0004
day=217 susceptible=0490 carriers=0335 avg_resistant_fraction=0.0006
day=218 susceptible=0475 carriers=0341 avg_resistant_fraction=0.0010
day=219 susceptible=0471 carriers=0344 avg_resistant_fraction=0.0007
day=220 susceptible=0463 carriers=0352 avg_resistant_fraction=0.0010
day=221 susceptible=0459 carriers=0364 avg_resistant_fraction=0.0002
day=222 susceptible=0463 carriers=0357 avg_resistant_fraction=0.0001
day=223 susceptible=0463 carriers=0361 avg_resistant_fraction=0.0006
day=224 susceptible=0464 carriers=0357 avg_resistant_fraction=0.0007
day=225 susceptible=0465 carriers=0356 avg_resistant_fraction=0.0002
day=226 susceptible=0458 carriers=0355 avg_resistant_fraction=0.0001
day=227 susceptible=0451 carriers=0358 avg_resistant_fraction=0.0001
day=228 susceptible=0436 carriers=0371 avg_resistant_fraction=0.0007
day=229 susceptible=0437 carriers=0367 avg_resistant_fraction=0.0007
day=230 susceptible=0461 carriers=0351 avg_resistant_fraction=0.0004
day=231 susceptible=0463 carriers=0347 avg_resistant_fraction=0.0007
day=232 susceptible=0474 carriers=0350 avg_resistant_fraction=0.0003
day=233 susceptible=0478 carriers=0354 avg_resistant_fraction=0.0004
day=234 susceptible=0473 carriers=0355 avg_resistant_fraction=0.0011
day=235 susceptible=0472 carriers=0356 avg_resistant_fraction=0.0004
day=236 susceptible=0462 carriers=0356 avg_resistant_fraction=0.0005
day=237 susceptible=0458 carriers=0358 avg_resistant_fraction=0.0005
day=238 susceptible=0442 carriers=0366 avg_resistant_fraction=0.0010
day=239 susceptible=0433 carriers=0362 avg_resistant_fraction=0.0005
day=240 susceptible=0427 carriers=0354 avg_resistant_fraction=0.0005
day=241 susceptible=0437 carriers=0361 avg_resistant_fraction=0.0002
day=242 susceptible=0451 carriers=0356 avg_resistant_fraction=0.0003
day=243 susceptible=0455 carriers=0356 avg_resistant_fraction=0.0010
day=244 susceptible=0466 carriers=0348 avg_resistant_fraction=0.0004
day=245 susceptible=0469 carriers=0345 avg_resistant_fraction=0.0007
day=246 susceptible=0458 carriers=0355 avg_resistant_fraction=0.0003
day=247 susceptible=0452 carriers=0354 avg_resistant_fraction=0.0003
day=248 susceptible=0460 carriers=0348 avg_resistant_fraction=0.0004
day=249 susceptible=0445 carriers=0352 avg_resistant_fraction=0.0001
day=250 susceptible=0448 carriers=0347 avg_resistant_fraction=0.0001
day=251 susceptible=0441 carriers=0351 avg_resistant_fraction=0.0001
day=252 susceptible=0447 carriers=0348 avg_resistant_fraction=0.0004
day=253 susceptible=0436 carriers=0352 avg_resistant_fraction=0.0008
day=254 susceptible=0459 carriers=0340 avg_resistant_fraction=0.0002
day=255 susceptible=0463 carriers=0340 avg_resistant_fraction=0.0009
day=256 susceptible=0467 carriers=0344 avg_resistant_fraction=0.0006
day=257 susceptible=0461 carriers=0349 avg_resistant_fraction=0.0003
day=258 susceptible=0453 carriers=0353 avg_resistant_fraction=0.0018
day=259 susceptible=0453 carriers=0352 avg_resistant_fraction=0.0006
day=260 susceptible=0450 carriers=0357 avg_resistant_fraction=0.0014
day=261 susceptible=0451 carriers=0356 avg_resistant_fraction=0.0006
day=262 susceptible=0452 carriers=0345 avg_resistant_fraction=0.0012
day=263 susceptible=0468 carriers=0342 avg_resistant_fraction=0.0002
day=264 susceptible=0457 carriers=0351 avg_resistant_fraction=0.0008
day=265 susceptible=0462 carriers=0352 avg_resistant_fraction=0.0002
day=266 susceptible=0459 carriers=0343 avg_resistant_fraction=0.0004
day=267 susceptible=0461 carriers=0346 avg_resistant_fraction=0.0010
day=268 susceptible=0447 carriers=0358 avg_resistant_fraction=0.0009
day=269 susceptible=0458 carriers=0358 avg_resistant_fraction=0.0002
day=270 susceptible=0463 carriers=0356 avg_resistant_fraction=0.0007
day=271 susceptible=0471 carriers=0355 avg_resistant_fraction=0.0005
