run_start config=shared/config_abx.yml days=365 hospitals=6 susceptible=290 seed_carriers=30 micro_steps_per_day=12 micro_workers=64 seed=42
day=330 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8888
day=331 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8899
day=332 susceptible=0002 carriers=0478 avg_resistant_fraction=0.8909
day=333 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8922
day=334 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8937
day=335 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8959
day=336 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8974
day=337 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8983
day=338 susceptible=0001 carriers=0479 avg_resistant_fraction=0.8997
day=339 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9008
day=340 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9005
day=341 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9007
day=342 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9014
day=343 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9029
day=344 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9044
day=345 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9080
day=346 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9085
day=347 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9079
day=348 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9088
day=349 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9091
day=350 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9099
day=351 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9105
day=352 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9114
day=353 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9116
day=354 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9125
day=355 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9128
day=356 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9137
day=357 susceptible=0000 carriers=0480 avg_resistant_fraction=0.9142
day=358 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9168
day=359 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9184
day=360 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9192
day=361 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9197
day=362 susceptible=0001 carriers=0479 avg_resistant_fraction=0.9201
day=363 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9205
day=364 susceptible=0002 carriers=0478 avg_resistant_fraction=0.9219
day=365 susceptible=0003 carriers=0477 avg_resistant_fraction=0.9209
run_end day=365 susceptible=3 carriers=477 avg_resistant_fraction=0.9209 active_micro_episodes=475
macro_log_written daily=/workspace/outputs/csv/macro_daily.csv by_hospital=/workspace/outputs/csv/macro_daily_by_hospital.csv
micro_log_written daily=/workspace/outputs/csv/micro_daily.csv by_hospital=/workspace/outputs/csv/micro_daily_by_hospital.csv patient_daily=/workspace/outputs/csv/micro_patient_daily.csv genotype=/workspace/outputs/csv/micro_daily_genotype.csv
plots_written to=/workspace/outputs/plots
